amazon.com,54.239.26.128
wordpress.com,192.0.78.17
tudou.com,123.126.98.147
yahoo.co.jp,182.22.59.229
sohu.com,220.181.90.20
apple.com,17.178.96.59
hao123.com,180.149.132.19
windows.com,104.43.195.251
ebay.com,66.135.209.52
pps.tv,58.83.190.154
xunlei.com,182.118.18.100
paipai.com,112.90.77.176
ifeng.com,210.51.19.63
goo.ne.jp,153.254.147.65
hotmail.com,157.56.198.220
alipay.com,110.76.20.33
56.com,101.227.173.126
facebook.com,UNHANDELED
fc2.com,54.69.196.173
paypal.com,64.4.250.33
360.cn,106.120.167.67
bbc.co.uk,UNHANDELED
sogou.com,118.191.216.42
tmall.com,140.205.94.193
softonic.com,46.28.209.62
nifty.com,222.158.213.148
youtube.com,UNHANDELED
imageshack.us,208.94.3.19
yahoo.com,UNHANDELED
ku6.com,122.11.45.243
cnn.com,151.101.192.73
live.com,65.55.118.92
rakuten.co.jp,133.237.48.124
about.com,207.241.148.122
tianya.cn,124.225.65.154
wikipedia.org,UNHANDELED
msn.com,13.82.28.61
mywebsearch.com,74.113.237.48
zynga.com,54.148.147.56
orkut.com.br,
baidu.com,220.181.57.217
blogspot.com,UNHANDELED
microsoft.com,23.100.122.175
craigslist.org,208.82.237.129
weather.com,104.86.98.120
qq.com,125.39.240.113
partypoker.com,185.37.77.41
soku.com,220.181.185.143
yandex.ru,UNHANDELED
taobao.com,140.205.220.96
alibaba.com,198.11.132.23
hp.com,15.216.241.18
myspace.com,63.135.90.70
bing.com,204.79.197.200
mail.ru,UNHANDELED
cnet.com,64.30.228.118
walmart.com,161.170.244.20
go.com,199.181.131.249
sina.com.cn,202.108.33.107
4399.com,118.184.184.70
soso.com,123.126.51.90
megaupload.com,
163.com,123.58.180.8
kugou.com,14.18.236.182
renren.com,103.235.252.213
ebay.de,66.135.211.132
ask.com,66.235.121.239
livedoor.jp,125.6.149.67
youdao.com,61.135.218.27
blogger.com,UNHANDELED
orkut.com,104.197.122.40
skype.com,40.115.34.155
vkontakte.ru,UNHANDELED
answers.com,192.41.64.63
ameblo.jp,27.133.209.103
adobe.com,192.150.16.117
twitter.com,104.244.42.65
naver.com,202.179.177.21
mozilla.com,63.245.213.24
youku.com,106.11.186.1
rapidshare.com,10.11.12.13
daum.net,114.108.157.19
flickr.com,69.147.76.173
hotfile.com,199.184.144.150
qiyi.com,101.227.22.157
pconline.com.cn,219.136.245.40
sdjjdsaf.com,
4shared.com,204.155.149.38
7k7k.com,115.182.59.33
amazon.co.jp,54.240.250.0
andysayler.com,162.243.49.20
wmfo.org,23.92.21.128
2345.com,42.62.30.180
linkedin.com,UNHANDELED
dailymotion.com,195.8.215.136
imdb.com,72.21.210.29
aol.com,207.200.74.55
odnoklassniki.ru,217.20.155.58
jp.msn.com,13.88.15.24
photobucket.com,209.17.68.100
mediafire.com,205.196.120.13
ehow.com,23.227.11.12
seesaa.net,59.106.98.139
